number,time,duration,x,y,avg_dilation
1,172,120,721,344,0.2969662447257355
2,491,100,709,360,0.3209662447257364
3,790,100,680,432,0.12196624472573614
4,930,140,679,439,0.20946624472573605
5,1169,100,668,428,0.18796624472573642
6,1628,219,569,1012,0.4209662447257352
7,3063,100,163,301,0.13003375527426408
8,3183,199,186,369,0.0884662447257365
9,3462,279,389,333,0.033466244725735894
10,3761,618,389,330,
11,4419,259,392,342,
12,4858,339,61,209,
13,5217,120,50,201,
14,5456,100,466,730,
15,5576,259,526,744,
16,6114,100,412,836,
17,6253,259,399,850,
18,6533,219,361,882,
19,7011,339,57,191,
20,7868,139,519,752,
21,8028,279,493,741,
22,8327,100,443,762,
23,8446,160,439,748,
24,8825,100,415,315,
25,9045,219,413,341,
26,9443,299,582,764,
27,9822,140,596,429,
28,10041,160,633,266,
29,10221,1136,614,221,
30,11756,259,589,239,
31,12035,299,551,217,
32,12434,100,457,778,
33,12733,399,472,742,
34,13331,439,948,677,0.24803375527426352
35,13830,180,949,679,0.28253375527426394
36,14129,179,643,367,
37,14328,119,642,378,
38,14767,100,492,497,
39,14886,219,497,493,
40,15146,219,406,487,
41,15465,140,467,478,
42,15724,279,505,482,
43,16441,100,495,478,
44,16641,120,506,471,
45,16840,120,502,479,
46,17339,160,570,477,
47,17618,100,484,520,
48,18355,239,549,503,
49,20868,100,701,498,
50,21246,100,689,479,
51,21825,120,462,477,
52,22263,100,438,403,
53,22403,100,443,403,
54,22642,199,447,396,
55,22861,100,459,397,
56,23041,100,434,400,
57,23180,100,430,405,
58,23300,100,495,427,
59,23798,100,430,467,
60,23938,100,458,403,
61,24058,199,472,387,
62,24317,219,467,386,
63,24656,279,468,397,
64,24955,120,467,402,
65,25094,100,472,400,
66,25214,219,466,400,
67,25712,139,555,335,
68,25952,179,606,331,
69,26211,140,361,411,
70,26510,100,391,423,
71,26689,140,477,400,
72,27028,160,601,430,
73,27487,120,579,435,
74,28185,120,502,519,
75,28763,140,470,498,
76,29042,140,465,445,
77,29201,140,489,402,
78,29520,120,425,496,
79,29700,179,439,488,
80,29899,100,525,466,
81,30059,140,525,475,
82,30218,219,535,463,
83,30577,119,484,479,
84,30737,120,635,435,
85,30916,219,587,442,
86,31295,100,467,500,
87,31454,120,497,513,
88,31614,239,517,527,
89,32152,120,497,382,
90,32451,159,376,416,
91,33049,100,1201,-41,0.5090337552742641
92,33189,438,1247,55,0.5690337552742637
93,34365,160,586,272,0.409033755274264
94,34684,219,876,295,0.393033755274264
95,34943,299,1043,290,0.48103375527426406
96,35322,179,1101,831,0.29453375527426395
97,35522,219,1107,799,0.3130337552742639
98,35920,339,1111,886,0.1680337552742639
99,36459,359,1098,809,0.1370337552742642
100,36837,100,1077,787,0.10196624472573612
101,37535,219,106,156,
102,37894,160,250,176,
103,38074,279,279,189,0.276033755274264
104,38472,120,909,700,0.2109662447257361
105,38692,100,950,697,0.20446624472573616
106,38911,937,943,766,0.2854662447257361
107,39928,120,929,652,0.19946624472573626
108,40167,439,934,684,0.262466244725736
109,40626,219,987,676,0.2894662447257361
